row,col,id,fullname,sample,type,site,season,symbstate,density,all_id
E,8,E8,TR5SF,61,coral,RI,Fall,Symbiotic,3221874,C-RI-F-Sym
E,9,E9,SN3F,69,sediment,NR,Fall,NA,NA,S-NR-F-NA
F,1,F1,TN2SS,2,coral,NR,Summer,Symbiotic,2648052,C-NR-S-Sym
F,10,F10,neg1,neg1,neg,neg,neg,neg,neg,neg-neg-neg
F,2,F2,TR4SS,14,coral,RI,Summer,Symbiotic,15601048,C-RI-S-Sym
F,3,F3,TC2SS,22,coral,CL,Summer,Symbiotic,10932216,C-CL-S-Sym
F,4,F4,TC5AS,30,coral,CL,Summer,Aposymbiotic,4912527,C-CL-S-Apo
F,5,F5,SC2S,38,sediment,CL,Summer,NA,NA,S-CL-S-NA
F,6,F6,WC1S,46,seawater,CL,Summer,NA,NA,W-CL-S-NA
F,7,F7,TN2AF,54,coral,NR,Fall,Aposymbiotic,0,C-NR-F-Apo
F,8,F8,TR1AF,62,coral,RI,Fall,Aposymbiotic,2057843,C-RI-F-Apo
F,9,F9,SR1F,70,sediment,RI,Fall,NA,NA,S-RI-F-NA
G,1,G1,TN3SS,3,coral,NR,Summer,Symbiotic,12383940,C-NR-S-Sym
G,10,G10,neg2,neg2,neg,neg,neg,neg,neg,neg-neg-neg
G,2,G2,TR5SS,15,coral,RI,Summer,Symbiotic,15589530,C-RI-S-Sym
G,3,G3,TC3SS,23,coral,CL,Summer,Symbiotic,332861,C-CL-S-Sym
G,4,G4,SN1S,31,sediment,NR,Summer,NA,NA,S-NR-S-NA
G,5,G5,SC3S,39,sediment,CL,Summer,NA,NA,S-CL-S-NA
G,8,G8,TR2AF,63,coral,RI,Fall,Aposymbiotic,1186165,C-RI-F-Apo
G,9,G9,SR2F,71,sediment,RI,Fall,NA,NA,S-RI-F-NA
H,1,H1,TN4SS,4,coral,NR,Summer,Symbiotic,7429536,C-NR-S-Sym
H,10,H10,neg3,neg3,neg,neg,neg,neg,neg,neg-neg-neg
H,2,H2,TR1AS,16,coral,RI,Summer,Aposymbiotic,1149826,C-RI-S-Apo
H,3,H3,TC4SS,24,coral,CL,Summer,Symbiotic,14055961,C-CL-S-Sym
H,4,H4,SN2S,32,sediment,NR,Summer,NA,NA,S-NR-S-NA
H,5,H5,WN1S,40,seawater,NR,Summer,NA,NA,W-NR-S-NA
H,6,H6,WC3S,48,seawater,CL,Summer,NA,NA,W-CL-S-NA
H,7,H7,TN4AF,56,coral,NR,Fall,Aposymbiotic,107840,C-NR-F-Apo
H,8,H8,TR3AF,64,coral,RI,Fall,Aposymbiotic,331249,C-RI-F-Apo
H,9,H9,SR3F,72,sediment,RI,Fall,NA,NA,S-RI-F-NA
